drg_definition,year,ttl_discharges,yoy_discharges,medicare_payment_ratio,medicare_segment,avg_hospital_charged,yoy_hos_charged,avg_patient_paid,yoy_patient_paid,avg_medicare_covered,yoy_medicare_covered
881 - DEPRESSIVE NEUROSES,2015,2855,-2.46,0.8,Moderate Medicare Dependency,13607.63,7.63,5400.17,1.31,4322.48,2.75
229 - OTHER CARDIOTHORACIC PROCEDURES W CC,2014,434,,0.8,Moderate Medicare Dependency,131648.78,,35096.2,,27990.3,
229 - OTHER CARDIOTHORACIC PROCEDURES W CC,2015,412,-5.07,0.86,High Medicare Dependency,148689.29,12.94,33468.66,-4.64,28711.36,2.58
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,2014,4966,,0.9,High Medicare Dependency,101198.25,,21774.41,,19571.09,
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,2015,3894,-21.59,0.89,High Medicare Dependency,102882.94,1.66,21558.11,-0.99,19170.5,-2.05
288 - ACUTE & SUBACUTE ENDOCARDITIS W MCC,2015,26,,0.63,Moderate Medicare Dependency,166601.23,,40112.77,,25189.46,
300 - PERIPHERAL VASCULAR DISORDERS W CC,2011,38458,,0.86,High Medicare Dependency,24634.84,,6928.87,,5949.3,
300 - PERIPHERAL VASCULAR DISORDERS W CC,2012,36260,-5.72,0.86,High Medicare Dependency,25869.62,5.01,7002.33,1.06,6032.73,1.4
300 - PERIPHERAL VASCULAR DISORDERS W CC,2013,31817,-12.25,0.81,High Medicare Dependency,27415.72,5.98,7187.77,2.65,5817.52,-3.57
300 - PERIPHERAL VASCULAR DISORDERS W CC,2014,29550,-7.13,0.81,High Medicare Dependency,29370.5,7.13,7720.27,7.41,6280.67,7.96
300 - PERIPHERAL VASCULAR DISORDERS W CC,2015,27370,-7.38,0.81,High Medicare Dependency,30852.34,5.05,7756.04,0.46,6288.59,0.13
"442 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",2014,11878,,0.8,Moderate Medicare Dependency,30150.04,,8414.11,,6695.98,
"442 - DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",2015,12579,5.9,0.8,Moderate Medicare Dependency,30228.44,0.26,8062.99,-4.17,6417.48,-4.16
643 - ENDOCRINE DISORDERS W MCC,2014,1708,,0.85,High Medicare Dependency,45058.42,,13290.91,,11357.14,
643 - ENDOCRINE DISORDERS W MCC,2015,2138,25.18,0.84,High Medicare Dependency,50043.8,11.06,13145.76,-1.09,11078.26,-2.46
668 - TRANSURETHRAL PROCEDURES W MCC,2014,181,,0.9,High Medicare Dependency,120960.36,,24935.47,,22351.84,
668 - TRANSURETHRAL PROCEDURES W MCC,2015,152,-16.02,0.86,High Medicare Dependency,102700.8,-15.1,21491.8,-13.81,18529.82,-17.1
914 - TRAUMATIC INJURY W/O MCC,2014,357,,0.77,Moderate Medicare Dependency,26858.04,,6300.19,,4824.64,
914 - TRAUMATIC INJURY W/O MCC,2015,394,10.36,0.72,Moderate Medicare Dependency,28269.75,5.26,6277.16,-0.37,4546.43,-5.77
919 - COMPLICATIONS OF TREATMENT W MCC,2014,5971,,0.84,High Medicare Dependency,58597.25,,16390.8,,13755.78,
919 - COMPLICATIONS OF TREATMENT W MCC,2015,6380,6.85,0.81,High Medicare Dependency,61456.63,4.88,16240.29,-0.92,13192.67,-4.09
963 - OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,2014,335,,0.82,High Medicare Dependency,92082.93,,29409.36,,24159.55,
963 - OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,2015,444,32.54,0.82,High Medicare Dependency,96142.73,4.41,32390.33,10.14,26675.0,10.41
334 - RECTAL RESECTION W/O CC/MCC,2014,304,,0.8,Moderate Medicare Dependency,44169.32,,11849.38,,9483.44,
334 - RECTAL RESECTION W/O CC/MCC,2015,428,40.79,0.8,Moderate Medicare Dependency,43286.37,-2.0,12115.61,2.25,9751.1,2.82
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,2014,6208,,0.8,Moderate Medicare Dependency,84132.24,,25441.39,,20255.05,
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,2015,5386,-13.24,0.81,High Medicare Dependency,88382.3,5.05,25336.33,-0.41,20527.5,1.35
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,2014,292,,0.81,High Medicare Dependency,137688.11,,34073.69,,27698.28,
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,2015,148,-49.32,0.89,High Medicare Dependency,121612.58,-11.68,31875.48,-6.45,28522.58,2.98
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",2015,11224,,0.89,High Medicare Dependency,578307.09,,146801.13,,130505.43,
"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",2014,8400,,0.74,Moderate Medicare Dependency,27545.99,,6652.75,,4955.25,
"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",2015,8306,-1.12,0.73,Moderate Medicare Dependency,29607.14,7.48,6606.92,-0.69,4854.91,-2.02
202 - BRONCHITIS & ASTHMA W CC/MCC,2011,32086,,0.81,High Medicare Dependency,23776.1,,6082.15,,4920.42,
202 - BRONCHITIS & ASTHMA W CC/MCC,2012,28449,-11.34,0.81,High Medicare Dependency,24808.55,4.34,6236.52,2.54,5066.71,2.97
202 - BRONCHITIS & ASTHMA W CC/MCC,2013,32658,14.79,0.77,Moderate Medicare Dependency,25841.87,4.17,6480.01,3.9,4983.39,-1.64
202 - BRONCHITIS & ASTHMA W CC/MCC,2014,24174,-25.98,0.78,Moderate Medicare Dependency,28058.87,8.58,6987.8,7.84,5433.2,9.03
202 - BRONCHITIS & ASTHMA W CC/MCC,2015,27271,12.81,0.78,Moderate Medicare Dependency,28382.05,1.15,6876.3,-1.6,5340.3,-1.71
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,2014,6359,,0.83,High Medicare Dependency,58079.36,,15032.23,,12544.97,
435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,2015,6719,5.66,0.82,High Medicare Dependency,59751.76,2.88,15051.0,0.12,12400.64,-1.15
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2011,427207,,0.84,High Medicare Dependency,50105.25,,14324.49,,12053.0,
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2012,430717,0.82,0.83,High Medicare Dependency,52236.16,4.25,14464.93,0.98,12052.02,-0.01
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2013,444816,3.27,0.82,High Medicare Dependency,54227.73,3.81,14790.41,2.25,12080.92,0.24
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2014,458259,3.02,0.81,High Medicare Dependency,55980.59,3.23,14993.25,1.37,12211.64,1.08
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,2015,463930,1.24,0.81,High Medicare Dependency,57368.57,2.48,14872.02,-0.81,12004.84,-1.69
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,2014,296,,0.82,High Medicare Dependency,48371.21,,14497.92,,11909.92,
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,2015,228,-22.97,0.82,High Medicare Dependency,49481.24,2.29,14525.21,0.19,11962.52,0.44
"492 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC",2014,795,,0.86,High Medicare Dependency,102247.65,,28000.07,,24002.6,
"492 - LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC",2015,1001,25.91,0.86,High Medicare Dependency,98208.93,-3.95,24512.02,-12.46,20958.67,-12.68
543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,2014,5148,,0.81,High Medicare Dependency,37207.06,,9400.51,,7603.65,
543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,2015,5647,9.69,0.8,Moderate Medicare Dependency,38291.64,2.91,9354.48,-0.49,7504.21,-1.31
"581 - OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",2014,962,,0.75,Moderate Medicare Dependency,44826.2,,10198.93,,7609.31,
"581 - OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",2015,716,-25.57,0.74,Moderate Medicare Dependency,50880.44,13.51,10569.18,3.63,7872.99,3.47
659 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,2014,1192,,0.85,High Medicare Dependency,102834.69,,31609.07,,26746.47,
659 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,2015,1375,15.35,0.84,High Medicare Dependency,105780.58,2.86,32546.37,2.97,27188.48,1.65
683 - RENAL FAILURE W CC,2011,150444,,0.86,High Medicare Dependency,25354.3,,7108.62,,6139.79,
683 - RENAL FAILURE W CC,2012,153170,1.81,0.86,High Medicare Dependency,25920.78,2.23,7149.72,0.58,6159.29,0.32
683 - RENAL FAILURE W CC,2013,150966,-1.44,0.82,High Medicare Dependency,26616.77,2.69,7120.57,-0.41,5828.34,-5.37
683 - RENAL FAILURE W CC,2014,144145,-4.52,0.82,High Medicare Dependency,27384.34,2.88,7331.61,2.96,5981.05,2.62
683 - RENAL FAILURE W CC,2015,147311,2.2,0.81,High Medicare Dependency,27897.54,1.87,7126.41,-2.8,5779.87,-3.36
946 - REHABILITATION W/O CC/MCC,2014,2623,,0.95,High Medicare Dependency,16688.72,,10525.77,,10028.24,
946 - REHABILITATION W/O CC/MCC,2015,2219,-15.4,0.95,High Medicare Dependency,17474.4,4.71,10791.07,2.52,10242.8,2.14
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2014,149,,0.81,High Medicare Dependency,85539.67,,21440.77,,17382.5,
"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2015,59,-60.4,0.82,High Medicare Dependency,83941.69,-1.87,20476.02,-4.5,16770.54,-3.52
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,2014,514,,0.77,Moderate Medicare Dependency,34486.82,,9127.14,,7040.74,
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,2015,466,-9.34,0.78,Moderate Medicare Dependency,40084.67,16.23,9616.14,5.36,7500.24,6.53
"758 - INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC",2014,14,,0.88,High Medicare Dependency,36548.0,,7121.0,,6236.0,
"758 - INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC",2015,11,-21.43,0.83,High Medicare Dependency,40593.0,11.07,7243.0,1.71,5976.0,-4.17
061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,2014,732,,0.87,High Medicare Dependency,89050.91,,22204.7,,19219.18,
061 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,2015,795,8.61,0.87,High Medicare Dependency,88195.76,-0.96,21296.78,-4.09,18616.48,-3.14
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,2014,534,,0.88,High Medicare Dependency,54105.44,,16383.61,,14365.68,
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,2015,583,9.18,0.86,High Medicare Dependency,60766.54,12.31,15639.2,-4.54,13517.49,-5.9
374 - DIGESTIVE MALIGNANCY W MCC,2014,2595,,0.84,High Medicare Dependency,68638.97,,18953.93,,15990.23,
374 - DIGESTIVE MALIGNANCY W MCC,2015,2954,13.83,0.83,High Medicare Dependency,70099.71,2.13,18402.26,-2.91,15272.35,-4.49
"514 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC",2014,17,,0.77,Moderate Medicare Dependency,26361.0,,6038.0,,4624.0,
"514 - HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC",2015,23,35.29,0.67,Moderate Medicare Dependency,36849.0,39.79,6565.0,8.73,4407.0,-4.69
603 - CELLULITIS W/O MCC,2011,140894,,0.81,High Medicare Dependency,20272.37,,5887.52,,4744.42,
603 - CELLULITIS W/O MCC,2012,140038,-0.61,0.81,High Medicare Dependency,21158.08,4.37,6006.1,2.01,4837.5,1.96
603 - CELLULITIS W/O MCC,2013,131207,-6.31,0.77,Moderate Medicare Dependency,22199.34,4.92,6108.22,1.7,4673.15,-3.4
603 - CELLULITIS W/O MCC,2014,126750,-3.4,0.78,Moderate Medicare Dependency,23038.85,3.78,6517.53,6.7,5066.89,8.43
603 - CELLULITIS W/O MCC,2015,119978,-5.34,0.77,Moderate Medicare Dependency,23960.9,4.0,6508.99,-0.13,5016.12,-1.0
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,2014,1407,,0.83,High Medicare Dependency,66615.26,,18421.91,,15254.54,
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,2015,1305,-7.25,0.83,High Medicare Dependency,67321.57,1.06,17051.05,-7.44,14119.74,-7.44
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,2014,3040,,0.8,Moderate Medicare Dependency,40318.28,,9864.14,,7920.0,
436 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,2015,2870,-5.59,0.8,Moderate Medicare Dependency,40632.47,0.78,9942.79,0.8,7938.86,0.24
"625 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC",2014,22,,0.82,High Medicare Dependency,109983.0,,25933.0,,21155.0,
"923 - OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC",2014,117,,0.82,High Medicare Dependency,32744.15,,9390.62,,7686.48,
"923 - OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC",2015,86,-26.5,0.79,Moderate Medicare Dependency,26508.85,-19.04,7896.91,-15.91,6214.86,-19.15
261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,2014,349,,0.81,High Medicare Dependency,61354.6,,14316.13,,11582.9,
261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,2015,364,4.3,0.81,High Medicare Dependency,67940.57,10.73,15303.48,6.9,12388.85,6.96
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,2014,1627,,0.77,Moderate Medicare Dependency,27894.04,,6665.06,,5129.05,
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,2015,1433,-11.92,0.77,Moderate Medicare Dependency,26229.42,-5.97,6511.69,-2.3,4996.22,-2.59
652 - KIDNEY TRANSPLANT,2014,10015,,0.7,Moderate Medicare Dependency,207304.79,,38719.19,,27132.08,
652 - KIDNEY TRANSPLANT,2015,10349,3.33,0.74,Moderate Medicare Dependency,220522.68,6.38,37465.23,-3.24,27862.12,2.69
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,2014,23,,0.73,Moderate Medicare Dependency,63613.0,,18318.17,,13305.22,
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,2015,43,86.96,0.76,Moderate Medicare Dependency,55210.14,-13.21,19550.63,6.73,14806.58,11.28
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2014,5073,,0.85,High Medicare Dependency,100655.89,,25798.57,,21893.16,
026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2015,4815,-5.09,0.83,High Medicare Dependency,105143.29,4.46,26344.12,2.11,21955.54,0.28
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,2014,2218,,0.84,High Medicare Dependency,63798.35,,13947.96,,11706.33,
062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,2015,2382,7.39,0.84,High Medicare Dependency,66356.44,4.01,13470.45,-3.42,11284.05,-3.61
"083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",2014,576,,0.75,Moderate Medicare Dependency,46698.47,,12251.69,,9207.03,
"083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",2015,671,16.49,0.74,Moderate Medicare Dependency,47671.08,2.08,11624.37,-5.12,8613.48,-6.45
"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",2014,3055,,0.87,High Medicare Dependency,56074.58,,14010.81,,12239.42,
"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",2015,3198,4.68,0.88,High Medicare Dependency,60114.04,7.2,13474.38,-3.83,11872.91,-2.99
294 - DEEP VEIN THROMBOPHLEBITIS W CC/MCC,2015,14,,0.85,High Medicare Dependency,45792.0,,7147.0,,6083.0,
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2012,16713,,0.81,High Medicare Dependency,44254.69,,11888.72,,9671.8,
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2013,15918,-4.76,0.78,Moderate Medicare Dependency,47525.65,7.39,12249.18,3.03,9593.17,-0.81
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2014,16122,1.28,0.79,Moderate Medicare Dependency,48672.41,2.41,12357.09,0.88,9705.07,1.17
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,2015,15860,-1.63,0.79,Moderate Medicare Dependency,51647.54,6.11,12402.43,0.37,9775.78,0.73
645 - ENDOCRINE DISORDERS W/O CC/MCC,2014,255,,0.76,Moderate Medicare Dependency,25565.51,,5843.41,,4429.77,
645 - ENDOCRINE DISORDERS W/O CC/MCC,2015,354,38.82,0.75,Moderate Medicare Dependency,24748.07,-3.2,6079.83,4.05,4561.67,2.98
974 - HIV W MAJOR RELATED CONDITION W MCC,2014,1718,,0.89,High Medicare Dependency,88575.79,,27576.9,,24510.11,
974 - HIV W MAJOR RELATED CONDITION W MCC,2015,1849,7.63,0.89,High Medicare Dependency,92173.03,4.06,26490.54,-3.94,23495.88,-4.14
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,2014,104,,0.87,High Medicare Dependency,96047.25,,24897.8,,21648.6,
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,2015,92,-11.54,0.87,High Medicare Dependency,87578.91,-8.82,23843.7,-4.23,20733.92,-4.23
175 - PULMONARY EMBOLISM W MCC,2014,9933,,0.85,High Medicare Dependency,42121.84,,10967.45,,9362.33,
175 - PULMONARY EMBOLISM W MCC,2015,12246,23.29,0.84,High Medicare Dependency,43804.82,4.0,11011.84,0.4,9232.3,-1.39
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,2014,177,,0.69,Moderate Medicare Dependency,41990.15,,7549.16,,5180.37,
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,2015,86,-51.41,0.75,Moderate Medicare Dependency,34581.58,-17.64,6867.92,-9.02,5135.36,-0.87
347 - ANAL & STOMAL PROCEDURES W MCC,2014,11,,0.74,Moderate Medicare Dependency,83727.0,,35826.0,,26338.0,
444 - DISORDERS OF THE BILIARY TRACT W MCC,2014,4416,,0.84,High Medicare Dependency,52741.16,,13881.05,,11711.07,
444 - DISORDERS OF THE BILIARY TRACT W MCC,2015,4641,5.1,0.83,High Medicare Dependency,56346.09,6.84,14026.42,1.05,11701.66,-0.08
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,2015,150151,,0.81,High Medicare Dependency,31954.56,,8040.33,,6494.55,
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2011,33606,,0.8,Moderate Medicare Dependency,28522.41,,6843.4,,5459.87,
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2012,31341,-6.74,0.79,Moderate Medicare Dependency,30492.63,6.91,7038.64,2.85,5591.25,2.41
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2013,28553,-8.9,0.78,Moderate Medicare Dependency,32503.69,6.6,7143.77,1.49,5603.82,0.22
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2014,26914,-5.74,0.79,Moderate Medicare Dependency,34213.19,5.26,7553.85,5.74,5941.0,6.02
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2015,25606,-4.86,0.78,Moderate Medicare Dependency,36180.54,5.75,7621.29,0.89,5935.87,-0.09
204 - RESPIRATORY SIGNS & SYMPTOMS,2014,5712,,0.76,Moderate Medicare Dependency,25004.99,,6058.42,,4632.68,
204 - RESPIRATORY SIGNS & SYMPTOMS,2015,5733,0.37,0.76,Moderate Medicare Dependency,26347.07,5.37,6175.23,1.93,4693.62,1.32
536 - FRACTURES OF HIP & PELVIS W/O MCC,2011,22728,,0.79,Moderate Medicare Dependency,17837.79,,4821.38,,3792.56,
536 - FRACTURES OF HIP & PELVIS W/O MCC,2012,20204,-11.11,0.79,Moderate Medicare Dependency,19388.5,8.69,4976.56,3.22,3919.87,3.36
536 - FRACTURES OF HIP & PELVIS W/O MCC,2013,17080,-15.46,0.74,Moderate Medicare Dependency,20773.63,7.14,5117.85,2.84,3765.38,-3.94
536 - FRACTURES OF HIP & PELVIS W/O MCC,2014,17469,2.28,0.76,Moderate Medicare Dependency,21723.29,4.57,5458.71,6.66,4140.91,9.97
536 - FRACTURES OF HIP & PELVIS W/O MCC,2015,18251,4.48,0.75,Moderate Medicare Dependency,22493.28,3.54,5481.53,0.42,4128.28,-0.31
823 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W MCC,2014,69,,0.82,High Medicare Dependency,189102.75,,57526.99,,47343.46,
823 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W MCC,2015,84,21.74,0.81,High Medicare Dependency,139512.6,-26.22,45357.85,-21.15,36778.64,-22.32
964 - OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,2014,694,,0.72,Moderate Medicare Dependency,50962.85,,14015.74,,10064.18,
964 - OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,2015,708,2.02,0.73,Moderate Medicare Dependency,53813.16,5.59,14344.66,2.35,10468.05,4.01
150 - EPISTAXIS W MCC,2015,12,,0.88,High Medicare Dependency,60748.0,,11907.0,,10536.0,
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,2014,7134,,0.7,Moderate Medicare Dependency,21608.55,,5361.27,,3772.68,
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,2015,6651,-6.77,0.7,Moderate Medicare Dependency,21949.27,1.58,5209.56,-2.83,3656.36,-3.08
504 - FOOT PROCEDURES W CC,2014,56,,0.84,High Medicare Dependency,48137.29,,13274.95,,11091.73,
504 - FOOT PROCEDURES W CC,2015,48,-14.29,0.7,Moderate Medicare Dependency,35170.85,-26.94,12968.25,-2.31,9133.54,-17.65
642 - INBORN AND OTHER DISORDERS OF METABOLISM,2014,69,,0.85,High Medicare Dependency,38000.65,,11142.78,,9446.52,
642 - INBORN AND OTHER DISORDERS OF METABOLISM,2015,94,36.23,0.78,Moderate Medicare Dependency,62237.52,63.78,13835.78,24.17,10781.49,14.13
707 - MAJOR MALE PELVIC PROCEDURES W CC/MCC,2014,998,,0.74,Moderate Medicare Dependency,58788.76,,15865.19,,11779.13,
707 - MAJOR MALE PELVIC PROCEDURES W CC/MCC,2015,1288,29.06,0.76,Moderate Medicare Dependency,63758.0,8.45,16457.64,3.73,12432.22,5.54
"735 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC",2014,94,,0.79,Moderate Medicare Dependency,39473.13,,9057.27,,7124.6,
"735 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC",2015,78,-17.02,0.81,High Medicare Dependency,31489.6,-20.23,9545.36,5.39,7777.22,9.16
348 - ANAL & STOMAL PROCEDURES W CC,2014,178,,0.72,Moderate Medicare Dependency,47568.84,,12927.69,,9360.7,
348 - ANAL & STOMAL PROCEDURES W CC,2015,221,24.16,0.73,Moderate Medicare Dependency,40084.27,-15.73,12138.6,-6.1,8813.14,-5.85
"406 - PANCREAS, LIVER & SHUNT PROCEDURES W CC",2014,3298,,0.83,High Medicare Dependency,96437.08,,25792.03,,21327.26,
"406 - PANCREAS, LIVER & SHUNT PROCEDURES W CC",2015,3282,-0.49,0.8,Moderate Medicare Dependency,100350.32,4.06,26687.48,3.47,21359.15,0.15
675 - OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC,2014,13,,0.75,Moderate Medicare Dependency,53665.0,,12798.0,,9653.0,
824 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W CC,2014,103,,0.78,Moderate Medicare Dependency,92967.28,,24853.76,,19410.75,
824 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W CC,2015,48,-53.4,0.74,Moderate Medicare Dependency,76599.9,-17.61,25342.35,1.97,18701.6,-3.65
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,2014,238,,0.76,Moderate Medicare Dependency,59231.39,,18129.91,,13826.0,
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,2015,297,24.79,0.8,Moderate Medicare Dependency,61992.75,4.66,15774.52,-12.99,12650.72,-8.5
"084 - TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",2014,301,,0.79,Moderate Medicare Dependency,27532.06,,8333.63,,6546.6,
"084 - TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",2015,394,30.9,0.76,Moderate Medicare Dependency,37426.56,35.94,8142.86,-2.29,6167.93,-5.78
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2014,4663,,0.81,High Medicare Dependency,85797.13,,23407.49,,18941.79,
"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2015,4641,-0.47,0.81,High Medicare Dependency,89889.85,4.77,23135.25,-1.16,18675.48,-1.41
539 - OSTEOMYELITIS W MCC,2014,109,,0.85,High Medicare Dependency,51841.75,,18170.5,,15456.58,
539 - OSTEOMYELITIS W MCC,2015,88,-19.27,0.82,High Medicare Dependency,66154.1,27.61,15572.16,-14.3,12810.64,-17.12
578 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,2014,93,,0.85,High Medicare Dependency,54316.08,,13593.89,,11543.96,
578 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,2015,43,-53.76,0.81,High Medicare Dependency,33458.7,-38.4,12007.02,-11.67,9785.33,-15.23
666 - PROSTATECTOMY W CC,2014,23,,0.91,High Medicare Dependency,84639.39,,9920.26,,9046.09,
669 - TRANSURETHRAL PROCEDURES W CC,2014,6419,,0.82,High Medicare Dependency,42120.29,,9332.26,,7616.89,
669 - TRANSURETHRAL PROCEDURES W CC,2015,6460,0.64,0.81,High Medicare Dependency,44457.77,5.55,9315.87,-0.18,7546.56,-0.92
987 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,2014,1033,,0.86,High Medicare Dependency,102246.82,,27212.71,,23320.11,
987 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,2015,1065,3.1,0.85,High Medicare Dependency,107814.21,5.45,28555.8,4.94,24192.07,3.74
